1	Crimson	1688
2	Situation	2245
3	Melissa	2137
4	Divination	2546
5	Ritual	2487
6	Beyonder	2154
7	Call Sign	2112
8	A New Era	2664
9	The Notebook	2363
10	The Norm	1896
11	Real Culinary Skills	2043
12	Here Again	1862
13	Nighthawk	1824
14	The Medium	2380
15	The Invitation	1769
16	Rat-baiting With Dogs	2998
17	Special Operations Department	2039
18	Origin and Cause	2116
19	Sealed Artifacts	2239
20	The Forgetful Dunn	2672
21	An Old Friend In A Different World	1933
22	Starting Sequence	1749
23	Side Arm	2032
24	Penny-pincher	2155
25	Cathedral	2160
26	Practice	2201
27	Siblings’ Dinner	1975
28	Secret Order	1853
29	“Jobs” and Rentals Are Serious	2057
30	Brand New Beginning	2302
31	Potion	2360
32	Spirit Vision	2656
33	Switch	1976
34	Advance Payment	1890
35	Exchange of Information	1869
36	A Simple Question	2004
37	The Club	1752
38	Novice Hobbyist	1856
39	Interesting Trick	1943
40	Mysticism Curriculum	2021
41	Audrey and Her Susie	1982
42	Butler Klee	2001
43	Search	1914
44	Fate	2144
45	Returning	1812
46	Portrait	2042
47	Old Neil’s Lack of Money	2081
48	Hanass Vincent	1910
49	Divination Art	1801
50	Old Neil’s Method of Repayment	1885
51	The Grounded Ritualistic Magic	2015
52	Spectator	1894
53	Listener	1676
54	The First Divination Requester	1816
55	Revelation	1879
56	Escape from the Sea	1791
57	Organization and Summary	2043
58	A Train of Thought	2060
59	Roselle’s Origins	1986
60	Second Blasphemy Slate	1917
61	Strange Symbol	1951
62	The Seer’s Suggestion	1924
63	Dream Interpretation	1913
64	Instigator	2062
65	Beyonder Information	1811
66	Demoness Sect	1997
67	Response	1879
68	Monster	1839
69	Protection Amulet	2227
70	2-049’s Arrival	1899
71	Sluggish Phenomenon	1793
72	Tracking	1863
73	First Battle	1664
74	Ray Bieber	1589
75	Saving himself	2108
76	Dealing With The Aftermath	2104
77	Remnant Items	1867
78	Trauma	2179
79	Another Murmuring	1856
80	Banquet Invitation	1790
81	Finally Meeting	1869
82	Herb Store	2053
83	Carving	1859
84	Elizabeth	1918
85	Urgency	1790
86	Prayer	2273
87	Exhortation	1811
88	Report	1960
89	A Simple Mission	2021
90	Findings By Sight	2209
91	Solution	1914
92	Psychological Expert	1812
93	New Diary Page	1924
94	Hidden Sage	1983
95	The Supplicant	1807
96	Daly’s Guess	2065
97	Combat Teacher	1940
98	Mr. Azik	2190
99	Red Chimney	1731
100	Interpreting Symbols	2067
101	Unexpected Clue	2072
102	Cloth Merchant	1665
103	Doing As the Heart Willed	1929
104	Mr. Z	1876
105	Spirit Channeling	2206
106	Artist Klein	2074
107	Fors	1770
108	Deep Into The Night	1935
109	Deduction	1746
110	Confirmation	1801
111	Letting Slip	1577
#TOTAL	-	221789
